abandon 放弃；放纵$0
apparition 幽灵；神奇的现象$0
appeal 恳求；吸引；上诉$0
appease 使平静，安抚$0
appellation 名称，称呼$0
appetite 欲望，食欲$0
appetizer 开胃品$0
appetizing 美味可口的，促进食欲的$0
applaud 鼓掌表示欢迎或赞赏$0
applause 鼓掌，喝彩；赞许$0
applicable 可应用的，适合的$0
applicant 申请人$0
appoint 任命，指定$0
apposite 适当的，恰当的，相关的$0
appraise 评价，鉴定$0
appreciable 明显的$0
appreciate 欣赏；感激$0
apprehend 逮捕，恐惧$0
apprentice 学徒$0
apprise 通知，告诉$0
approach 接近，靠近；着手处理；方法$0
approbation 称赞；认可$0
appropriate 拨款；盗用，挪用；恰当的$0
approximate 大约的，估计的$0
apron 围裙$0
apropos 适宜的；有关$0
apt 易于…的，恰当的$0
aptitude 适宜；才能，资源$0
aquatic 水生的，水中的$0
arabesque 蔓藤图饰$0
arable 可耕的，适宜种植的$0
arbiter 权威人士，泰斗$0
arbitrary 专横的，不理智的$0
arbitrate 仲裁，公断$0
arboreal 树木的$0
arboretum 植物园$0
arcane 神秘的，秘密的$0
arch 拱门，拱形；使…成弓形$0
archaeology 考古学$0
archetype 原型；典型例子$0
archipelago 群岛$0
architect 建筑师$0
archive 档案室$0
arctic 北极的；极寒的$0
ardent 热心的，热烈的$0
arena 竞技场$0
argot 隐语，黑话$0
aria 独唱曲，咏叹调$0
arid 干旱的；枯燥的$0
aristocracy 贵族；贵族政府，贵族统治$0
armada 舰队$0
armistice 休战，停战$0
armony 军械库$0
aroma 芳香，香气$0
array 部署；陈列；大批$0
arrest 逮捕；拘留；阻止，抑制$0
arresting 显著的，引人注意的$0
arrhythmic 无节奏的；不规则的$0
arrogant 傲慢的，自大的$0
arrogate 冒称，霸占$0
arsenal 军械库$0
arson 纵火，放火$0
artery 动脉，命脉$0
arthritis 关节炎$0
articulate 清楚说话；接合$0
artifact 人工制品$0
artifice 巧办法；诡计$0
artificial 人造的，假的$0
artistry 艺术技巧$0
artless 粗俗的；自然的$0
ascendancy 统治权，支配力量$0
ascetic 禁欲的；苦行者$0
ascribe 归功于，归咎于$0
asepic 洁净的；无菌的$0
aspect 方面；外貌，外表$0
aspen 白杨$0
asperity 严酷；粗鲁$0
aspersion 诽谤，中伤$0
asphyxiate 无法呼吸，窒息而死$0
aspiration 抱负，热望$0
aspire 向往，有志于$0
assail 抨击；猛攻$0
assault 突然袭击；猛袭$0
assay 试验，测定$0
assemble 集合，聚集，收集；装配，安装$0
assent 同意，赞成$0
assert 断言，主张$0
assertive 过分自信的；有进取心的$0
assess 评价，评定；估算，估定$0
assessment 估计，评价$0
asset 资产，财产；有价值的人或物，可取之处$0
assiduous 勤勉的；专心的$0
assimilate 同化；吸收$0
associate 联合的；合伙人；将人或事物联系起来$0
assorted 混杂的$0
assuage 缓和，减轻$0
assume 假定；承担，担任$0
assumption 设想；夺取$0
assure 向某人保证；使确信$0
asterisk 星号$0
asteroid 小行星$0
asthma 哮喘病$0
astound 使震惊$0
astray 迷路的，误入歧途的$0
astringent 止血的；收缩的；收缩剂，止血剂$0
astrolabe 星盘$0
astrology 占星术；占星学$0
astronomical 天文学的；庞大的$0
astute 机敏的，精明的$0
asunder 分离的；化为碎片$0
asylum 避难所，庇护所$0
asymmetric 不对称的$0
athletics 运动，体育$0
atonal 无调的$0
atrocious 残忍的，凶恶的$0
atrophy 萎缩，衰退$0
attach 将某物附在上$0
attain 达到，实现$0
attenuate 变薄；变弱$0
attest 证明为真$0
attic 阁楼，顶楼$0
attorney 律师$0
attribute 属性，品质；把…归于$0
attune 使调和$0
auction 拍卖$0
audacious 大胆的；无畏的；愚勇的$0
audible 听得见的$0
augment 增大，增值$0
augur 占卜师；占卜$0
august 威严的，高贵的$0
auspices 资助，赞助$0
auspicious 吉兆的$0
austere 朴素的$0
authentic 真正的；法律证实的$0
authoritarian 独裁主义者；极权主义者$0
autobiography 自传$0
autocrat 独裁者$0
autonomy 自制，独立$0
auxiliary 辅助的，协助的，附加的$0
available 可用的，可得到的$0
avalanche 雪崩$0
avarice 贪财，贪婪$0
avenge 为…复仇，为…报仇$0
aver 极力声明；断言；确证$0
averse 不愿的，反对的$0
aversion 嫌恶，憎恨$0
avert 避免，防止；避开$0
 aviary 大鸟笼，鸟舍$0
avid 渴望的，热心的$0
avoid 避开，躲避$0
avow 承认；公开宣称$0
awe 敬畏$0
awe-inspiring 令人敬畏的$0
awkward 笨拙的；难用的；造成不便的$0
awl 尖钻$0
awning 遮阳篷，雨篷$0
awry 扭曲的，走样的$0
axiom 公理；定理$0
axis 轴$0
axle 轮轴$0
babble 胡言乱语；牙牙学语；喋喋不休$0
backdrop 背景，背景幕布$0
backhanded 间接的；反手击球的$0
bacterium 细菌$0
badge 徽章$0
badger 獾；一再烦扰，一再要求$0
badinage 开玩笑，打趣$0
bail 保释金；保释$0
bait 诱饵；逗趣；激怒$0
bale 大包裹；灾祸；不幸$0
baleful 有害的，邪恶的，恶意的$0
balk 大方木料；妨碍；不愿前进或从事某事$0
balled 歌谣，小曲$0
ballast 压舱物$0
ballerina 芭蕾舞女演员$0
balloon 气球；快速增长$0
ballot 投票$0
balm 香油，药膏；镇痛剂，安慰物$0
balmy 温和的；芳香的，能止痛的$0
ban 禁令；明令禁止$0
banal 乏味的，陈腐的$0
band 带子；收音机波段$0
bandage 绷带；用绷带包扎$0
bane 祸根$0
banish 放逐某人$0
banister 栏杆$0
bankrupt 破产的$0
banquet 宴会，盛宴$0
banter 打趣，玩笑$0
bar 禁止，阻挡；条，棒$0
barb 倒钩；批评的话$0
barbarous 野蛮的，粗俗的$0
barbecue 烤肉架；烤肉$0
bard 吟游诗人$0
bare 暴露；赤裸的$0
barefaced 厚颜无耻的，公然的$0
bargain 交易；物美价廉的东西；讨价还价$0
barge 平底货船，驳船$0
bark 犬吠；树皮$0
barn 谷仓$0
barometer 气压计；晴雨表$0
baroque 过分雕琢$0
barrage 弹幕$0
barren 贫瘠的；不育的，不结果实的$0
barrricade 设栅阻挡；栅栏$0
barrier 路障；障碍$0
barter 易货贸易$0
base 卑鄙的$0
bask 晒太阳，取暖$0
baste 倒油脂于$0
batch 一批，一炉$0
bathetic 假作悲伤的；陈腐的$0
baton 指挥棒；警棍$0
battalion 军营，军队$0
bauxite 铝土岩$0
bawdy 淫猥的，好色的$0
bazaar 集市，商店集中区$0
beacon 烽火，灯塔$0
beam 大梁；光线$0
bearing 关系，意义；方位$0
beat 心跳；搅拌$0
bedeck 装饰，修饰$0
bedlam 混乱，骚乱$0
befuddlement 迷惑不解$0
begrudge 吝啬，勉强给$0
beholder 目睹者，旁观者$0
behoove 理应，有义务$0
belabor 过分冗长地做或说；痛打$0
belated 来得太迟的$0
beleaguer 围攻；骚扰$0
belie 掩饰；证明为假$0
belittle 轻视，贬抑$0
bellicose 好战的，好斗的$0
belligerence 交战；好战性，好斗性$0
bellwether 领导者，领头羊$0
bench 法官席；长凳$0
bend 弯曲；屈服$0
benediction 祝福；祈祷$0
benefactor 行善者，捐助者$0
benevolent 善心的，仁心的$0
benign 慈祥的$0
benison 祝福，赐福$0
bent 特长，爱好；弯曲的$0
bequeath 遗赠$0
bequest 遗产，遗赠物$0
berate 猛烈责骂$0
bereft 被剥夺的，丧失的；缺少的$0
beset 镶嵌；困扰$0
besiege 围攻，困扰$0
besmirch 诽谤$0
bestial 野兽的，残忍的$0
bestow 给予，赐赠$0
betray 背叛；暴露$0
betroth 许配，和…结婚$0
beverage 饮料$0
bewilder 使迷惑，混乱$0
bewildering 令人迷惑的；费解的$0
bibliography 文献学；参考书目$0
bibliophile 爱书者，藏书家$0
bicker 为小事争吵$0
bid 命令；竞标，出价$0
bifurcate 分为两支，分叉$0
bigot 顽固盲从者；偏执者$0
bile 胆汁；愤怒$0
bilingual 两种语言的$0
bilk 躲债$0
billowy 如波浪般翻滚的$0
bin 大箱子$0
biosphere 生命层，生物圈$0
biped 两足动物$0
bit 钻头$0
bizarre 奇异的，古怪的$0
blade 刀锋，刀口$0
blanch 使变白；使变苍白$0
bland 情绪平稳的；无味的$0
blandishment 奉承，甜言蜜语$0
blasphemy 亵渎，渎神$0
blast 一阵；冲击波；爆破；枯萎$0
blatant 厚颜无耻的；显眼的；炫耀的$0
blazon 纹章。装饰；精确描绘；宣扬，夸示$0
bleach 漂白，使无色；漂白剂；漂白的行为$0
bleak 寒冷的；阴沉的；阴郁的，暗淡的 $0
blemish 损害；玷污；瑕疵，缺点$0
blight 植物枯萎病；使…枯萎$0
bliss 狂喜，极大的幸福；福佑，天赐的福$0
blithe 快乐的，无忧无虑的$0
blizzard 暴风雪$0
blockade 封锁$0
blockage 障碍物$0
blooming 有花的；精力旺盛的$0
blotch 红斑点；大斑点$0
blowhard 自吹自擂者$0
blue 忧伤的，沮丧的$0
blueprint 蓝图；方案$0
blunder 犯大错；笨拙地做；愚蠢之举$0
blunt 钝的；直率的$0
blur 模糊不清的事物；使…模糊$0
blurb 简介；印在书籍封套上的推荐广告$0
blurt 脱口而出$0
blush 因某事物脸红；因羞愧等脸上泛出的红晕$0
bluster 猛刮$0
blustering 大吵大闹的$0
boast 自夸$0
bodyguard 保镖，侍卫$0
bog 沼泽；使…陷入沼泽$0
boggle 畏缩不前；使退缩$0
bogus 假的$0
boisterous 喧闹的；猛烈的$0
bolster 枕垫；支持，鼓励$0
bolt 急逃；螺栓，门闩$0
bombast 高调，夸大之辞$0
bondage 奴役，束缚$0
bonnet 圆帽，扁平软帽$0
boom 繁荣昌盛时期；发出深沉有回响的声音$0
boon 恩惠，天赐福利$0
boor 举止粗野的人；乡下人$0
boost 往上推；增加，提高$0
bootless 无益处的；无用的$0
bore 钻孔；使厌烦；孔；令人厌烦的人$0
boredom 厌烦；令人厌烦的事物$0
botany 植物学$0
boulder 巨砾$0
bouquet 花束；芳香$0
bourgeois 中产阶级的；自私拜物的$0
bout 一回合，一阵$0
boycott 抵制$0
brace 使稳固，架稳；支撑物$0
bracelet 手镯，臂镯$0
bracing 令人振奋的$0
bracket 托架，支架$0
brag 吹嘘$0
braggadocio 吹牛大王；大吹大擂$0
braggart 吹牛者$0
braid 穗子；发辫；编成辫子$0
brake 刹车；减速$0
brandish 挥舞$0
brash 性急的；无礼的$0
brassy 厚脸皮的，无礼的$0
brat 孩子；顽童$0
bravado 故作勇敢，虚张声势$0
bravura 华美乐段；华美的；显示技巧的$0
brawl 争吵，打架$0
brazen 厚脸皮的$0
breach 裂缝，缺口；打破，裂开；违背$0
breadth 宽度$0
breed 繁殖；教养；品种，种类$0
bribe 贿赂$0
bricklayer 砌砖盖房者，泥瓦匠$0
bridle 马笼头；抑制，控制$0
brink 边沿，边缘$0
brisk 快的，敏捷的，活泼的；清新健康的$0
bristle 短而硬的毛发；竖起；发怒$0
brittle 易碎的，脆弱的$0
broach 开；提出$0
brochure 小册子，说明书$0
broker 经纪人$0
bromide 平庸的人或话；镇静剂，安眠药$0
brood 一窝幼鸟；孵蛋；冥想$0
brook 小河$0
browbeat 欺侮；吓唬$0
bruise 受伤，擦伤$0
bruit 散布$0
brunt 主要冲击力或影响$0
brusque 唐突的，鲁莽的$0
brutal 残忍的；严酷的$0
buck 反对；雄鹿；雄兔$0
bucket 圆桶$0
bucolic 乡村的；牧羊的$0
bud 芽；花蕾$0
budge 移动一点儿；改变立场$0
budget 预算$0
buffoon 演出时的丑角；粗俗而愚蠢的人$0
bulb 植物的球茎；灯泡$0
bulge 膨胀，鼓起$0
bulk 体积；数量；大多数；大身躯$0
bully 以强欺弱，威胁；欺负别人者$0
bumptious 傲慢的，自夸的$0
bungle 笨拙地做$0
buoy 浮标；救生圈；支持，鼓励$0
buoyant 有浮力的；快乐的$0
bureaucracy 官僚政治$0
burgeon 迅速成长，发展$0
burial 埋葬，埋藏$0
burlesque 讽刺或滑稽的戏剧$0
burnish 擦亮，磨光$0
bust 半身像$0
butt 用头抵撞，顶撞；粗大的一段；烟蒂$0
buttress 拱墙，拱壁；支持$0
byline 报刊文章首行$0
byproduct 副产品；副作用$0
bystander 旁观者$0
byzantine 像迷宫似的；难变更的$0
cabal 政治阴谋小集团$0
cabinet 橱柜$0
cache 贮藏处；将…藏于$0
cacophony 难听的声音$0
cadet 军校或警官学校的学生$0
cadge 乞讨；占便宜$0
cajole 哄骗$0
calamity 大灾祸，不幸之事$0
calcium 钙$0
calculated 蓄意的$0
calculating 深谋远虑的，精明的$0
calculus 微积分学，结石$0
caldron 大锅$0
calibrate 量…口径；校准$0
calipers 测径器，双脚规$0
calligraphy 书法$0
callous 结硬块的；无情的$0
callow 未生羽毛的；未成熟的$0
calorie 卡路里；卡$0
calumniate 诽谤，中伤$0
calumny 诽谤，中伤$0
cameo 浮雕宝石；生动刻画；出演$0
camouflage 掩饰，伪装$0
campaign 战役；竞选活动$0
canary 金丝雀；女歌星$0
candid 率直的$0
candidacy 候选人的资格$0
candor 坦白，率直$0
cane 拐杖$0
canine 犬的，似犬的$0
canny 精明仔细的$0
canon 经典，真作$0
canonical 按照教规的；见于宗教经典的$0
canopy 蚊帐；华盖$0
cant 斜坡，斜面；隐语，术语，黑话；使倾斜$0
cantankerous 脾气坏的，好争吵的$0
canto 篇$0
canvas 画布；帆布$0
canvass 细查；拉选票$0
canyon 峡谷$0
cape 披肩，短斗篷；海角$0
capillary 毛细血管$0
capitulate 投降$0
caprice 奇思怪想，变化无常，任性$0
capricious 变化无常的，任性的$0
capsule 荚；胶囊$0
caption 标题$0
captious 吹毛求疵的$0
captivate 迷惑，吸引$0
capture 俘获；夺取或赢得；战利品$0
carafe 玻璃瓶$0
carapace 甲壳$0
carbohydrate 碳水化合物$0
carcinogen 致癌物$0
cardinal 最重要的；红衣主教$0
cardiologist 心脏病专家$0
caress 爱抚，抚摸；爱抚或抚摸某人$0
careworn 受忧虑折磨的，饱经风霜的$0
cargo 货物$0
caricature 讽刺画；滑稽模仿$0
carnivorous 肉食动物$0
carol 颂歌；欢唱$0
carouse 狂欢寻乐$0
carp 鲤鱼；吹毛求疵$0
carpenter 木匠$0
carrion 腐肉$0
cartographer 绘制地图者$0
carve 雕刻；切成片$0
cast 演员阵容；剧团；扔；铸造$0
caste 社会等级，等级$0
castigate 惩治，严责$0
casual 偶然的$0
casualty 伤亡事故；伤亡者$0
cataclysm 剧变，灾难$0
catalyst 催化剂；促使事情发展的因素$0
catastrophe 突如其来的大灾难$0
categorical 无条件的，绝对的；分类的$0
cater 迎合；提供饮食及服务$0
caterpillar 毛毛虫，蝴蝶的幼虫$0
catharsis 宣泄，净化$0
cathedral 总教堂，主教堂$0
catholic 普遍的；广泛的；宽厚的$0
caucus 政党高层会议$0
caulk 填塞$0
causal 原因的，因果关系的$0
caustic 腐蚀性的；刻薄的；腐蚀剂$0
cauterize 烧灼以消毒或止血$0
cavalier 骑士，武士$0
cavalry 骑兵部队，装甲部队$0
caveat 警告，告诫$0
cavern 大洞穴$0
cavil 挑毛病，吹毛求疵$0
cavity 洞，腔$0
cavort 腾越，欢跃$0
cede 割让，放弃$0
celebrated 有名的，知名的$0
celebrity 名声；知名人士$0
celestial 天体的，天上的$0
cellar 地下室；酒窖$0
cello 大提琴$0
cement 水泥；胶黏剂；黏合，巩固$0
censor 审查，检查$0
census 人口统计$0
centaur 人头马怪物$0
centigrade 百分度的，摄氏温度计的$0
centralization 集中；集权化$0
centurion 古罗马的百人队长$0
ceramic 陶瓷制品$0
cereal 谷类；谷类制品$0
cerebral 大脑的；深思的$0
ceremonious 仪式隆重的$0
ceremony 典礼，仪式$0
certainty 确定的事情$0
certification 证明$0
certitude 确定无疑$0
cessation 中止，停止$0
cession 割让，转让$0
chafe 擦热；擦痛；激怒$0
chaff 谷壳，米糠$0
chagrin 失望，懊恼$0
chalice 大酒杯；圣餐杯$0
chameleon 变色龙，蜥蜴；善变之人$0
champion 冠军；斗士；拥护者；拥护$0
championship 冠军地位；锦标赛$0
chancellor 大臣；总理；首席法官；大学校长$0
chandelier 枝形吊灯$0
chant 圣歌；歌唱或背诵$0
chaos 混乱$0
chapel 小教堂$0
char 烧焦；使…燃烧成焦炭$0
characteristic 有特色的；典型性的；与众不同的特征$0
characterization 描绘，刻画$0
characterize 描述或刻画…的特点$0
charade 用动作等表演文字意义的字谜游戏$0
charisma 领袖气质；魅力$0
charity 仁慈；施舍$0
charlatan 江湖郎中，骗子$0
charm 魅力；咒语，咒符；吸引，迷住$0
charter 特权或豁免权$0
chary 小心的，审慎的$0
chase 雕镂；追捕$0
chasm 深远，大沟；大差别$0
chaste 贞洁的；朴实的$0
chastise 严厉惩罚；谴责$0
chauvinistic 沙文主义的，过分爱国主义的$0
check 使突然停止，阻止$0
chef 厨师$0
cherubic 胖乎乎而天真无邪的$0
chicanery 诡计，狡诈$0
chide 叱责，指责$0
chimera 神话怪物；梦幻$0
chip 薄片，碎片；集成电路片$0
chipmunk 花栗鼠$0
chisel 凿子；凿$0
chivalrous 武士精神的；对女人彬彬有礼的$0
choice 上等的，精选的$0
choir 唱诗班$0
choke 窒息，阻塞$0
choleric 易怒的，暴躁的$0
chord 和弦，和音$0
choreography 舞蹈；舞蹈编排$0
chorus 合唱队，歌舞团$0
chromatic 彩色的，五彩的$0
chromosome 染色体$0
chronic 慢性的，长期的$0
chrysanthemum 菊，菊花$0
chuckle 轻声地笑$0
churl 粗鄙之人$0
cinder 余烬，煤渣$0
cipher 零；无影响力的人；密码$0
circuit 环形，环形道；线路；电路$0
circuitous 迂回的，绕圈子的$0
circulate 循环；流通$0
circumference 周围；圆周；周长$0
circumlocution 迂回累赘的陈述$0
circumscribe 限制$0
circumstantial 不重要的，偶然的；描述详细的$0
circumvent 回避；用计谋战胜或规避$0
cistern 贮水池$0
cite 引用，引述$0
civil 国内的；公民的；文明的$0
civilian 平民$0
civility 彬彬有礼，斯文$0
claim 要求或索要；声称拥有的权力$0
clairvoyance 超人的洞察力$0
clam 蛤蜊，蛤肉；守秘密之人$0
clamor 吵闹，喧哗$0
clamp 钳子；钳紧$0
clandestine 秘密的，暗中从事的$0
clannish 排他的，门户之见的$0
clarify 澄清$0
clash 冲突，撞击$0
clasp 钩子，扣子；紧握$0
classify 分类，归类$0
clause 从句；条款$0
clay 黏土$0
cleft 裂缝；劈开的$0
clemency 温和；仁慈，宽厚$0
clement 仁慈的；温和的$0
climax 顶点，高潮$0
clinch 钉牢；最后确定$0
cling 紧抓住；舍不得放弃$0
clinical 临床的；冷静客观的$0
clip 夹子，别针；修剪$0
clipper 大剪刀；快速帆船$0
clique 朋党派系，小集团$0
clog 障碍；阻塞$0
cloister 修道院$0
closet 壁橱；秘密的$0
clot 凝块；使凝结成块$0
cloture 辩论的终结$0
cloudburst 大暴雨，豪雨$0
clout 用手猛击；权力，影响力$0
clown 小丑；扮小丑$0
cloying 甜得发腻的$0
clumsy 笨拙的$0
cluster 串，束，群；成群，成串$0
coagulant 凝结剂；凝血剂$0
coagulate 使凝结$0
coalesce 联合，合并$0
coalition 结合，联合$0
coarse 粗糙的；低劣的；粗俗的$0
coarsen 使某物变粗糙$0
coax 哄诱，巧言劝诱$0
cob 玉米棒子；雄天鹅$0
cobbler 补鞋匠$0
cocoon 茧$0
coda 乐曲的尾声$0
coddle 溺爱；细心照料$0
code 密码；法典；将某事物变成密码$0
codify 将法律、规则等编成法典$0
coerce 强迫$0
coercion 强迫，高压统治$0
coeval 同年代的$0
cogent 有说服力的$0
cogitate 慎重思考，思索$0
cognizance 认识，察识$0
cognizant 知道的，认识的$0
cohabit 共栖$0
coherent 连贯的，一致的$0
cohesion 内聚力；凝聚力$0
