a art.一(个)；每一(个)$0
afterward ad.后来，以后$0
again ad.又一次；而且$0
against prep.倚在；逆，对着$0
age n.年龄；时代 vt.变老$0
agency n.经办；代理；代理处$0
agent n.代理人，代理商$0
aggressive a.侵略的；好斗的$0
ago ad.以前$0
agony n.极度痛苦$0
agree vi.同意；持相同意见$0
agreement n.协定，协议；同意$0
agriculture n.农业，农艺；农学$0
ahead ad.在前；向前；提前$0
aid n.帮助，救护；助手$0
aim vi.瞄准，针对；致力$0
air n.空气；空中；外观$0
aircraft n.飞机，飞行器$0
airline n.航空公司；航线$0
airplane n.飞机$0
airport n.机场，航空站$0
alarm n.惊恐，忧虑；警报$0
alcohol n.酒精，乙醇$0
alike a.同样的，相同的$0
alive a.活着的；活跃的$0
all a.全部的 prep.全部$0
allow vt.允许，准许；任$0
alloy n.合金；(金属的)成色$0
almost ad.几乎，差不多$0
alone a.单独的 ad.单独地$0
along prep.沿着 ad.向前$0
aloud ad.出声地，大声地$0
alphabet n.字母表，字母系统$0
already ad.早已，已经$0
also ad.亦，也；而且，还$0
alter vt.改变，变更；改做$0
alternative n.替换物；取舍，抉择$0
although conj.尽管，虽然$0
altitude n.高，高度；高处$0
altogether ad.完全；总而言之$0
aluminium n.铝$0
always ad.总是，一直；永远$0
a.m (缩)上午，午前$0
amaze vt.使惊奇，使惊愕$0
ambition n.雄心，抱负，野心$0
ambulance n.救护车；野战医院$0
America n.美洲；美国$0
American a.美洲的 n.美国人$0
among prep.在…之中$0
amongst prep在…之中(=among)$0
amount n.总数；数量；和$0
ampere n.安培$0
amplify vt.放大，增强；扩大$0
amuse vt.逗…乐；给…娱乐$0
analyse vt.分析，分解，解析$0
analysis n.分析，分解，解析$0
ancestor n.祖宗，祖先$0
anchor n.锚 vi.抛锚，停泊$0
ancient a.古代的，古老的$0
and conj.和，又，并，则$0
angel n.天使，神差，安琪儿$0
anger n.怒，愤怒 vt.使发怒$0
angle n.角，角度$0
angry a.愤怒的，生气的$0
animal n.动物，兽 a.动物的$0
ankle n.踝，踝节部$0
announce vt.宣布，宣告，发表$0
announcer n.宣告者；播音员$0
annoy vt.使恼怒；打搅$0
annual a.每年的 n.年报$0
another a.再一个的；别的$0
answer vt.回答；响应；适应$0
ant n.蚂蚁$0
anticipate vt.预料，预期，期望$0
anxiety n.焦虑，忧虑；渴望$0
anxious a.忧虑的；渴望的$0
any a.什么，一些；任何的$0
anybody prep.任何人$0
anyhow ad.无论如何$0
anyone pron.任何人$0
anything pron.任何事物；一切$0
anyway ad.无论如何$0
anywhere ad.在什么地方$0
apart ad.相隔；分开；除去$0
apartment n.一套公寓房间$0
apologize vi.道歉，谢罪，认错$0
apology n.道歉，认错，谢罪$0
apparatus n.器械，仪器；器官$0
apparent a.表面上的；明显的$0
appeal vi.&n.呼吁；申述$0
appear vi.出现；来到；似乎$0
appearance n.出现，来到；外观$0
appetite n.食欲，胃口；欲望$0
apple n.苹果，苹果树$0
appliance n.用具，器具，器械$0
applicable a.能应用的；适当的$0
application n.请求，申请；施用$0
apply vt.应用，实施，使用$0
appoint vt.任命，委任；约定$0
appointment n.任命；约定，约会$0
appreciate vt.欣赏；领会；感谢$0
approach vt.向…*近 n.*近$0
appropriate a.适当的，恰当的$0
approval n.赞成，同意；批准$0
approve vt.赞成，称许；批准$0
approximate a.近似的 vt.近似$0
approximately ad.近似地，大约$0
April n.四月$0
Arabian a.阿拉伯的$0
arbitrary a.随心所欲的；专断的$0
architecture n.建筑学；建筑式样$0
area n.面积；地区；领域$0
argue vi.争论，争辩，辩论$0
argument n.争论，辩论；理由$0
arise vi.出现；由…引起$0
arithmetic n.算术，四则运算$0
arm n.臂；臂状物；武器$0
army n.军队；陆军$0
around prep.在…周围$0
arouse vt.引起，唤起；唤醒$0
arrange vt.筹备；整理；调解$0
arrangement n.整理，排列；安排$0
arrest vt.逮捕，拘留；阻止$0
arrival n.到达；到来；到达者$0
arrive vi.到达；来临；达到$0
arrow n.箭；箭状物$0
art n.艺术，美术；技术$0
article n.文章；条款；物品$0
artificial a.人工的；娇揉造作的$0
artist n.艺术家，美术家$0
artistic a.艺术的；艺术家的$0
as conj.当…的时候$0
ash n.灰，灰末；骨灰$0
ashamed a.惭愧(的)；羞耻(的)$0
Asia n.亚洲$0
Asian a.亚洲的 n.亚洲人$0
aside ad.在旁边，到旁边$0
ask vt.问；要求；邀请$0
asleep a.睡着的，睡熟的$0
aspect n.方面；样子，外表$0
assemble vt.集合，召集；装配$0
assembly n.集合；集会；装配$0
assess vt.对(财产等)估价$0
assign vt.指派；分配；指定$0
assignment n.任务，指定的作业$0
assist vt.援助，帮助；搀扶$0
assistant n.助手，助理；助教$0
associate vi.交往 n.伙伴，同事$0
association n.协会，团体；联合$0
assume vt.假定；承担；呈现$0
assure vt.使确信；向…保证$0
astonish vt.使惊讶，使吃惊$0
astronaut n.宇宙航行员，宇航员$0
at prep.在…里；在…时$0
athlete n.运动员；田径运动员$0
Atlantic a.大西洋的 n.大西洋$0
atmosphere n.大气；空气；气氛$0
atmospheric a.大气的；大气层的$0
atom n.原子；微粒；微量$0
atomic a.原子的；原子能的$0
attach vt.缚，系，贴；附加$0
attack vt.&vi.&n.攻击，进攻$0
attain vt.达到，获得，完成$0
attempt vt.尝试，试图 n.企图$0
attend vt.出席；照顾，护理$0
attention n.注意，留心；注意力$0
attentive a.注意的；有礼貌的$0
attitude n.态度，看法；姿势$0
attract vt.吸引；引起，诱惑$0
attraction n.吸引；吸引力；引力$0
attractive a.有吸引力的$0
attribute vt.把…归因于 n.属性$0
audience n.听众，观众，读者$0
August n.八月$0
aunt n.伯母，婶母，姑母$0
aural a.耳的，听觉的$0
Australia n.澳大利亚$0
Australian a.澳大利亚的$0
author n.作者，作家$0
authority n.当局，官方；权力$0
auto n.(口语)汽车$0
automatic a.自动的；机械的$0
automation n.自动，自动化$0
automobile n.汽车，机动车$0
autumn n.秋，秋季$0
auxiliary a.辅助的；附属的$0
available a.可利用的；通用的$0
avenue n.林荫道，道路；大街$0
average n.平均数 a.平均的$0
aviation n.航空，航空学$0
avoid vt.避免，躲开；撤消$0
await vt.等候，期待$0
awake a.醒着的 vt.唤醒$0
award n.奖，奖品；判定$0
aware a.知道的，意识到的$0
away ad.离开，远离；…去$0
awful a.令人不愉快的$0
awfully ad.令人畏惧的；很$0
awkward a.笨拙的；尴尬的$0
ax n.斧子$0
axis n.轴，轴线；中心线$0
baby n.婴儿；孩子气的人$0
back ad.在后；回原处；回$0
background n.背景，后景，经历$0
backward a.向后的；倒的 ad.倒$0
bacteria n.细菌$0
bad a.坏的，恶的；严重的$0
badly ad.坏，差；严重地$0
badminton n.羽毛球$0
bag n.袋，包，钱包，背包$0
baggage n.行李$0
bake vt.烤，烘，焙；烧硬$0
balance vt.使平衡；称 n.天平$0
ball n.球，球状物；舞会$0
balloon n.气球，玩具气球$0
banana n.香蕉；芭蕉属植物$0
band n.乐队；带；波段$0
bang n.巨响，枪声；猛击$0
bank n.银行；库；岩，堤$0
banner n.旗，旗帜，横幅$0
bar n.酒吧间；条，杆；栅$0
barber n.理发师$0
bare a.赤裸的；仅仅的$0
bargain n.交易 vi.议价；成交$0
bark n.吠叫声 vi.吠，叫$0
barn n.谷仓；牲口棚$0
barrel n.桶；圆筒；枪管$0
barrier n.栅栏，屏障；障碍$0
base n.基础，底层；基地$0
basic a.基本的，基础的$0
basically ad.基本上$0
basin n.盆，洗脸盆；盆地$0
basis n.基础，根据$0
basket n.篮，篓，筐$0
basketball n.篮球；篮球运动$0
bat n.球拍；短棍；蝙蝠$0
bath n.浴，洗澡；浴缸$0
bathe vt.给…洗澡；弄湿$0
bathroom n.浴室；盥洗室$0
battery n.电池；一套，一组$0
battle n.战役；斗争 vi.作战$0
bay n.湾；山脉中的凹处$0
B.C. (缩)公元前$0
be aux.v.&vi.是，在，做$0
beach n.海滩，湖滩，河滩$0
beam n.梁；横梁；束，柱$0
bean n.豆，蚕豆$0
bear n.熊；粗鲁的人$0
bear vt.容忍；负担；生育$0
beard n.胡须，络腮胡子$0
beast n.兽，野兽；牲畜$0
beat vt.&vi.打，敲；打败$0
beautiful a.美的，美丽的$0
beauty n.美，美丽；美人$0
because conj.由于，因为$0
become vi.变成；成为，变得$0
bed n.床，床位；圃；河床$0
bee n.蜂，密蜂；忙碌的人$0
beef n.牛肉；菜牛$0
beer n.啤酒$0
before prep.在…以前；向…$0
beg vt.&vi.乞求；请求$0
beggar n.乞丐，穷人$0
begin vi.开始 vt.开始$0
beginner n.初学者，生手$0
beginning n.开始，开端；起源$0
behalf n.利益，维护，支持$0
behave vi.表现，举止；运转$0
behavior n.行为，举止，态度$0
behind prep.在…后面$0
being n.存在；生物；生命$0
belief n.信任，相信；信念$0
believe vt.相信；认为$0
bell n.钟，铃，门铃；钟声$0
belong vi.属于，附属$0
beloved a.为…的爱的 n.爱人$0
below prep.在…下面(以下)$0
belt n.带，腰带；皮带；区$0
bench n.长凳，条凳；工作台$0
bend vt.使弯曲 vi.弯曲$0
beneath prep.在…下方$0
beneficial a.有利的，有益的$0
benefit n.利益；恩惠；津贴$0
berry n.浆果(如草莓等)$0
beside prep.在…旁边$0
besides ad.而且prep.除…之外$0
best a.最好的；最大的$0
bet vt.&vi.&n.打赌$0
betray vt.背叛；辜负；泄漏$0
better a.较好的 ad.更好地$0
between prep.在…中间$0
beyond prep.在…的那边$0
Bible n.基督教《圣经》$0
bicycle n.自行车，脚踏车$0
big a.大的，巨大的$0
bike n.自行车 vi.骑自行车$0
bill n.账单；招贴；票据$0
billion num.万亿(英)$0
bind vt.捆绑；包扎；装钉$0
biology n.生物学；生态学$0
bird n.鸟，禽$0
birth n.分娩，出生；出身$0
birthday n.生日，诞生的日期$0
biscuit n.(英)饼干；(美)软饼$0
bit n.一点，一些，小片$0
bite vt.咬，叮，螫；剌穿$0
bitter a.痛苦的；严寒的$0
bitterly ad.苦苦地；悲痛地$0
black a.黑色的；黑暗的$0
blackboard n.黑板$0
blade n.刀刃，刀片；叶片$0
blame vt.责备，把…归咎于$0
blank a.空白的 n.空白$0
blanket n.毛毯，毯子，羊毛毯$0
blast n.爆炸，冲击波 vt.炸$0
blaze n.火；闪光 vi.燃烧$0
bleed vi.出血，流血；泌脂$0
blend vt.&vi.&n.混和$0
bless vt.为…祝福$0
blind a.瞎的；盲目的$0
block n.街区 vt.堵塞，拦阻$0
blood n.血，血液；血统$0
bloom n.花；开花，开花期$0
blossom n.花，开花 vi.开花$0
blow vi.吹，吹动；吹响$0
blue a.蓝色的 n.蓝色$0
board n.板 vt.上(船、车等)$0
boast vi.自夸 vt.吹嘘$0
boat n.小船，艇；渔船$0
body n.身体；主体；尸体$0
boil vi.沸腾；汽化vt.煮沸$0
bold a.大胆的；冒失的$0
bolt n.螺栓；插销 vt.闩门$0
bomb n.炸弹 vt.轰炸$0
bond n.联结，联系；公债$0
bone n.骨，骨骼$0
book n.书，书籍 vt.预定$0
boot n.靴子，长统靴$0
booth n.货摊；公用电话亭$0
border n.边，边缘；边界$0
bore vt.使厌烦；钻，挖$0
born a.天生的；出生的$0
borrow vt.借，借用，借人$0
bosom n.胸，胸部；内心$0
boss n.老板，上司 vt.指挥$0
both pron.两者(都)$0
bother vt.烦扰，迷惑 n.麻烦$0
bottle n.瓶，酒瓶；一瓶$0
bottom n.底，底部，根基$0
bough n.树枝$0
bounce vi.反跳，弹起；跳起$0
bound a.一定的；有义务的$0
boundary n.分界线，办界$0
bow n.弓；蝴蝶结；鞠躬$0
bowl n.碗，钵；碗状物$0
box n.箱，盒；包箱$0
box vi.拳击，打拳$0
boy n.男孩，少年；家伙$0
brain n.脑，脑髓；脑力$0
brake n.闸，刹车 vi.制动$0
branch n.树枝；分部；分科$0
brand n.商品；烙印 vt.铭刻$0
brandy n.白兰地酒$0
brass n.黄铜；黄铜器$0
brave a.勇敢的，华丽的$0
bread n.面包；食物，粮食$0
breadth n.宽度，幅度；幅面$0
break vt.打破；损坏；破坏$0
breakfast n.早饭，早餐$0
breast n.乳房；胸脯，胸膛$0
breath n.气息，呼吸；气味$0
breathe vi.呼吸 vt.呼吸$0
breed n.品种 vt.使繁殖$0
breeze n.微风，和风$0
brick n.砖，砖块；砖状物$0
bridge n.桥，桥梁；桥牌$0
brief a.简短的；短暂的$0
bright a.明亮的；聪明的$0
brighten vt.使发光；使快活$0
brilliant a.光辉的；卓越的$0
brim n.边，边缘；帽沿$0
bring vt.带来；引出；促使$0
brisk a.活泼的；清新的$0
bristle n.短而硬的毛；鬃毛$0
Britain n.不列颠，英国$0
British a.不列颠的，英联邦的$0
brittle a.脆的；易损坏的$0
broad a.宽的，阔的；广泛的$0
broadcast n.广播，播音$0
broken a.被打碎的，骨折的$0
bronze n.青铜；青铜制品$0
brood n.同窝幼鸟 vt.孵(蛋)$0
brook n.小河，溪流$0
broom n.扫帚$0
brother n.兄弟；同事，同胞$0
brow n.额；眉，眉毛$0
brown n.褐色，棕色$0
bruise n.青肿，伤痕；擦伤$0
brush n.刷子，毛刷；画笔$0
brute n.禽兽，畜生$0
bubble n.泡 vi.冒泡，沸腾$0
bucket n.水桶；吊桶；铲斗$0
bud n.芽，萌芽；蓓蕾$0
build vt.建筑；建立；创立$0
building n.建筑物，大楼；建筑$0
bulb n.电灯泡；球状物$0
bulk n.物体，容积，大批$0
bull n.公牛；雄的象$0
bullet n.枪弹，子弹，弹丸$0
bunch n.束，球，串；一群$0
bundle n.捆，包，束；包袱$0
burden n.担子，重担；装载量$0
bureau n.局，司，处；社，所$0
burn vi.烧，燃烧 n.烧伤$0
burst vt.使爆裂 vi.&n.爆炸$0
bury vt.埋葬，葬；埋藏$0
bus n.公共汽车$0
bush n.灌木，灌木丛，矮树$0
business n.商业，生意；事务$0
busy a.忙的，繁忙的$0
but conj.但是，可是$0
butcher n.屠夫；屠杀者$0
butter n.黄油；奶油$0
butterfly n.蝴蝶$0
button n.扣子；按钮 vt.扣紧$0
buy vt.买，购买 vi.买$0
by prep.在…旁；被，由 $0
cabbage n.洋白菜，卷心菜$0
cabin n.小屋；船舱，机舱$0
cabinet n.橱，柜；内阁$0
cable n.缆，索；电缆；电报$0
cafe n.咖啡馆；小餐厅$0
cafeteria n.自助食堂$0
cage n.笼；鸟笼，囚笼$0
cake n.饼，糕，蛋糕$0
calculate vt.计算；估计；计划$0
calculation n.计算，计算结果$0
calculator n.计算器，计算者$0
calendar n.日历，历书；历法$0
call vt.把…叫做；叫，喊$0
calm a.静的，平静的$0
camel n.骆驼$0
camera n.照相机，摄影机$0
camp n.野营，营地，兵营$0
campaign n.战役；运动$0
campus n.校园，学校场地$0
can aux.v.能，会，可能$0
can n.罐头，听头；容器$0
Canada n.加拿大$0
Canadian a.加拿大的$0
canal n.运河；沟渠；管$0
cancel vt.取消，撤消；删去$0
cancer n.癌，癌症，肿瘤$0
candidate n.候选人；投考者$0
candle n.蜡烛；烛形物；烛光$0
candy n.糖果；砂糖结晶$0
cannon n.大炮，火炮；榴弹炮$0
canoe n.独木舟，皮艇，划子$0
canteen n.小卖部；临时餐室$0
canvas n.粗帆布；一块油画布$0
cap n.帽子，便帽；帽状物$0
capable a.有能力的，有才能的$0
capacity n.容量；能力；能量$0
capital n.资本，资金；首都$0
captain n.陆军上尉；队长$0
captive n.俘虏，被监禁的人$0
capture vt.捕获，俘获；夺得$0
car n.汽车，小汽车，轿车$0
carbon n.碳$0
card n.卡，卡片，名片$0
care vi.关心，介意 n.小心$0
career n.生涯，职业，经历$0
careful a.仔细的；细致的$0
careless a.粗心的，漫不经心的$0
cargo n.船货，货物$0
carpenter n.木工，木匠$0
carpet n.地毯，毡毯，毛毯$0
carriage n.客车厢；四轮马车$0
carrier n.运输工具；运载工具$0
carrot n.胡罗卜$0
carry vt.携带；运载；传送$0
cart n.二轮运货马车$0
carve vt.刻，雕刻；切开$0
case n.情况；事实；病例$0
case n.箱(子)，盒(子)，套$0
cash n.现金，现款$0
cassette n.盒式录音带；盒子$0
cast vt.投，扔，抛；浇铸$0
castle n.城堡；巨大建筑物$0
casual a.偶然的；随便的$0
cat n.猫，猫科，猫皮$0
catalog n.目录，目录册$0
catch vt.捉住；赶上；领会$0
cathedral n.总教堂；大教堂$0
cattle n.牛；牲口，家畜$0
cause n.原因，理由；事业$0
cave n.山洞，洞穴，窑洞$0
cease vi.&vi.&n.停止，停息$0
ceiling n.天花板，顶蓬$0
celebrate vt.庆祝；歌颂，赞美$0
cell n.细胞；小房间$0
cellar n.地窑，地下室$0
cement n.水泥；胶泥 vt.粘结$0
cent n.分；分币；百$0
centigrade a.百分度的$0
centimetre n.公分，厘米$0
central a.中心的；主要的$0
centre n.中心；中枢 vt.集中$0
century n.世纪，百年$0
ceremony n.典礼，仪式；礼节$0
certain a.确实的；肯定的$0
certainly ad.一定，必定；当然$0
certainty n.必然；肯定$0
certificate n.证书，证件，执照$0
chain n.链，链条，项圈$0
chair n.椅子；主席$0
chairman n.主席；议长，会长$0
chalk n.白垩；粉笔$0
challenge n.挑战；要求，需要$0
chamber n.会议室；房间；腔$0
champion n.冠军，得胜者$0
chance n.机会，机遇；可能性$0
change n.改变，变化；零钱$0
channel n.海峡；渠道；频道$0
chapter n.章，回，篇$0
character n.性格；特性；角色$0
characteristic a.特有的 n.特性$0
charge vt.索价；控告 n.费用$0
charity n.施舍；慈善事业$0
charming a.迷人的，可爱的$0
chart n.图，图表；海图$0
chase n.追逐，追赶，追求$0
cheap a.廉价的；劣质的$0
cheat vt.骗取；哄 vi.行骗$0
check vt.检查；制止 n.检查$0
cheek n.面颊，脸蛋$0
cheer vt.使振作；欢呼$0
cheerful a.快乐的，愉快的$0
cheese n.乳酪，干酪$0
chemical a.化学的 n.化学制品$0
chemist n.化学家；药剂师$0
chemistry n.化学$0
cheque n.支票$0
cherry n.樱桃；樱桃树$0
chess n.棋；国际象棋$0
chest n.胸腔，胸膛；箱子$0
chew vt.咀嚼，嚼碎$0
chicken n.小鸡，小鸟；鸡肉$0
chief a.主要的；首席的$0
child n.小孩，儿童；儿子$0
childhood n.童年，幼年；早期$0
childish a.孩子的；幼稚的$0
chill vt.使变冷 n.寒冷$0
chimney n.烟囱，烟筒；玻璃罩$0
chin n.颏，下巴$0
China n.中国$0
china n.瓷器，瓷料$0
Chinese a.中国的 n.中国人$0
chocolate n.巧克力；巧克力糖$0
choice n.选择，抉择$0
choke vt.使窒息；塞满$0
choose vt.选择，挑选；情愿$0
chop vt.砍，劈；切细vi.砍$0
Christian n.基督教徒；信徒$0
Christmas n.圣诞节$0
church n.教堂，礼拜堂；教会$0
cigarette n.香烟，纸烟，卷烟$0
cinema n.电影院；电影，影片$0
circle n.圆，圆周；圈子$0
circuit n.电路；环行；巡行$0
circular a.圆的；循环的$0
circulate vt.使循环 vi.循环$0
circumference n.圆周，周长，圆周线$0
circumstance n.情况，条件；境遇$0
citizen n.公民；市民，居民$0
city n.城市，都市$0
civil a.公民的；文职的$0
civilization n.文明，文化；开化$0
civilize vt.使文明；教育$0
claim vt.声称，主张；索取$0
clap vi.拍手 vt.拍，轻拍$0
clarify vt.澄清，阐明$0
clasp n.扣子，钩子；别针$0
class n.班，班级；阶级$0
classical a.古典的；经典的$0
classification n.分类；分级；分类法$0
classify vt.把…分类$0
classmate n.同班同学$0
classroom n.教室，课堂$0
claw n.爪，脚爪，螯$0
clay n.粘土，泥土；肉体$0
clean a.清洁的；纯洁的$0
clear a.清晰的 vt.清除$0
clearly ad.明白地，清晰地$0
clerk n.店员；办事员，职员$0
clever a.聪明的；机敏的$0
cliff n.悬崖，峭壁$0
climate n.气候；风土，地带$0
climb vi.攀登，爬 vt.爬$0
cloak n.斗篷；覆盖(物)$0
clock n.钟，仪表$0
close vt.关，闭；结束$0
closely ad.紧密地，接近地$0
cloth n.布；衣料；桌布$0
clothe vt.给…穿衣服$0
clothes n.衣服，服装；被褥$0
clothing n.衣服，被褥$0
cloud n.云；云状物；阴影$0
cloudy a.多云的；云一般的$0
club n.俱乐部，夜总会$0
clue n.线索，暗示，提示$0
clumsy a.笨拙的；愚笨的$0
coach n.长途公共汽车$0
coal n.煤，煤块$0
coarse a.粗的，粗糙的$0
coast n.海岸，海滨(地区)$0
coat n.外套，上衣；表皮$0
cock n.公鸡；雄禽；旋塞$0
code n.准则；法典；代码$0
coffee n.咖啡，咖啡茶$0
coil n.(一)卷；线圈 vt.卷$0
coin n.硬币；铸造(硬币)$0
cold a.冷的；冷淡的 n.冷$0
collapse vi.倒坍；崩溃，瓦解$0
collar n.衣领，项圈$0
colleague n.同事，同僚$0
collect vt.收集 vi.收款$0
collection n.搜集，收集；收藏品$0
collective a.集体的；集合性的$0
college n.学院；大学$0
collision n.碰撞；冲突$0
colonel n.陆军上校；中校$0
colony n.殖民地；侨居地$0
color n.颜色，彩色；颜料$0
column n.柱，支柱，圆柱$0
comb n.梳子 vt.梳理$0
combination n.结合，联合；化合$0
combine vt.使结合；兼有$0
come vi.来，来到；出现$0
comfort n.舒适；安慰 vt.安慰$0
comfortable a.舒适的，安慰的$0
command vt.命令，指挥；控制$0
commander n.司令官，指挥员$0
comment n.评论，意见；注释$0
commerce n.商业，贸易；社交$0
commercial a.商业的；商品化的$0
commission n.委任状；委员会$0
commit vt.犯(错误);干(坏事)$0
committee n.委员会；全体委员$0
common a.普通的；共同的$0
commonly ad.普通地，一般地$0
communicate vi.通讯；传达；传播$0
communication n.通讯；传达；交通$0
communism n.共产主义$0
communist n.共产党员$0
community n.社区；社会；公社$0
companion n.同伴；共事者；伴侣$0
company n.公司，商号；同伴$0
comparative a.比较的，相对的$0
compare vt.比较，对照；比作$0
comparison n.比较，对照；比似$0
compass n.罗盘，指南针；圆规$0
compel vt.强迫，迫使屈服$0
compete vi.比赛；竞争；对抗$0
competent a.有能力的；应该做的$0
competition n.竞争，比赛$0
compile vt.编辑，编制，搜集$0
complain vi.抱怨，拆苦；控告$0
complaint n.抱怨；怨言；控告$0
complete a.完整的；完成的$0
completely ad.十分，完全地$0
complex a.结合的；复杂的$0
complicate vt.使复杂；使陷入$0
complicated a.复杂的，难懂的$0
component n.组成部分；分；组件$0
compose vt.组成，构成；创作$0
composition n.构成；作品；写作$0
compound n.化合物；复合词$0
comprehension n.理解，理解力；领悟$0
comprehensive a.广泛的；理解的$0
compress vt.压紧，压缩$0
comprise vt.包含，包括；构成$0
compromise n.妥协，和解$0
compute vt.计算，估计，估算$0
computer n.计算机，电脑$0
comrade n.同志，亲密的同伴$0
conceal vt.把…隐藏起来$0
concentrate vt.集中；聚集；浓缩$0
concentration n.集中；专注；浓缩$0
concept n.概念，观念，设想$0
concern n.关心，挂念；关系$0
concerning prep.关于$0
concert n.音乐会，演奏会$0
conclude vt.推断出；结束$0
conclusion n.结论，推论；结尾$0
concrete n.混凝土；具体物$0
condemn vt.谴责，指责；判刑$0
condense vt.压缩，使缩短$0
condition n.状况，状态；环境$0
conduct n.举止，行为；指导$0
conductor n.售票员；(乐队)指挥$0
conference n.会议，讨论会$0
confess vt.供认，承认；坦白$0
confidence n.信任；信赖；信心$0
confident n.确信的，自信的$0
confine vt.限制；禁闭$0
confirm vt.证实，肯定；批准$0
conflict n.争论；冲突；斗争$0
confuse vt.使混乱，混淆$0
confusion n.混乱；骚乱；混淆$0
congratulate vt.祝贺，向…道喜$0
congratulation n.祝贺；祝贺词$0
congress n.大会；国会，议会$0
conjunction n.接合，连接；连接词$0
connect vt.连接，连结；联系$0
connection n.连接，联系；连贯性$0
conquer vt.征服，战胜；破除$0
conquest n.攻取，征服；克服$0
conscience n.良心，道德心$0
conscious a.意识到的；有意的$0
consciousness n.意识，觉悟；知觉$0
consent n.同意，赞成 vi.同意$0
consequence n.结果，后果$0
consequently ad.因此，因而，所以$0
conservation n.保存，保护；守恒$0
conservative a.保守的 n.保守的人$0
consider vt.认为；考虑；关心$0
considerable a.相当大的；重要的$0
considerate a.考虑周到的；体谅的$0
consideration n.考虑，思考；体贴$0
consist vi.由…组成；在于$0
consistent a.坚持的，一贯的$0
constant a.经常的；永恒的$0
constitution n.章程；体质；构造$0
construct vt.建造；建设；构筑$0
construction n.建造；建筑；建筑物$0
consult vt.请教，查阅$0
consume vt.消耗，消费；消灭$0
consumption n.消耗量；消耗$0
contact vt.使接触；与…联系$0
contain vt.包含，容纳；等于$0
container n.容器；集装箱$0
contemporary a.当代的，同时代的$0
contempt n.轻蔑；藐视；受辱$0
content n.内容，目录；容量$0
content a.满意的，满足的$0
contest vt.争夺，争取；辩驳$0
continent n.大陆；陆地；洲$0
continual a.不断的；连续的$0
continue vt.继续，连续；延伸$0
continuous a.连续不断的，持续的$0
contract n.契约，合同；婚约$0
contradiction n.矛盾，不一致；否认$0
contrary a.相反的 n.相反$0
